date,parlay,bookie,sport,selection,bet_type,capper,competition,extra_info,event,live,score,units,odd,free_bet,result,lucro_unidade,lucro_monetario,unidade_vigente
2025-03-23,S,,,Lamine Yamal - Over 0.5,O/U gols,,,,,N,,,,N,w,,,15.0
2025-03-23,S,,,Cody Gakpo - Over 0.5,O/U gols,,,,,N,,,,N,l,,,15.0
2025-03-23,N,betfair,Tenis,1° set - Over 10.5,O/U games,Sam Culmer,WTA Tour,Miami 1000 - R32,Amanda Anisimova v Mirra Andreeva,N,2-1,1.0,4.5,N,W,3.5,52.50,15.0
2025-03-23,N,Superbet,Tenis,Over 22.5,O/U games,Sam Culmer,ATP Tour,Miami 1000 - R32,Francisco Cerundolo v Tommy Paul,N,2-0,1.0,1.92,N,L,-1.0,-15.00,15.0
2025-03-24,N,Betano,Futebol,Criar Aposta,Dupla,,Eliminatórias,Fase de Grupos,Inglaterra v Letônia,N,3-0,0.666667,3.75,N,L,-0.67,-10.00,15.0
2025-03-24,S,,,Harry Kane - Over 1.5,O/U gols,,,,,N,,,,N,w,,,15.0
2025-03-24,S,,,Jude Bellingham - Over 0.5,O/U gols,,,,,N,,,,N,l,,,15.0
2025-03-24,N,bet365,Tenis,João Fonseca,ML,EU,ATP Tour,Miami 1000 - R32,Alex de Minaur v João Fonseca,N,2-1,1.0,2.2,N,L,-1.0,-15.00,15.0
2025-03-24,N,bet365,Tenis,Criar Aposta,Dupla,,ATP Tour,Miami 1000 - R32,Alex de Minaur v João Fonseca - R32,N,2-1,1.0,4.0,N,L,-1.0,-15.00,15.0
2025-03-24,S,,,João Fonseca - 1° set - Over 0.5 ,O/U breaks,,,,,N,,,,N,w,,,15.0
2025-03-24,S,,,João Fonseca,ML,,,,,N,,,,N,l,,,15.0
2025-03-25,N,Superbet,Tenis,1° set - Over 10.5,O/U games,Sam Culmer,ATP Tour,Miami 1000 - R16,Grigor Dimitrov v Brandon Nakashima,N,2-0,1.0,2.67,N,L,-1.0,-15.00,15.0
2025-03-25,N,bet365,Tenis,1° set - Brandon Nakashima,Set ML,Sam Culmer,ATP Tour,Miami 1000 - R16,Grigor Dimitrov v Brandon Nakashima,N,2-0,1.0,2.3,N,L,-1.0,-15.00,15.0
2025-03-25,N,Superbet,Tenis,1° set - Over 10.5,O/U games,Sam Culmer,ATP Tour,Miami 1000 - R16,Gael Monfils v Sebastian Korda,N,1-2,1.0,2.77,N,L,-1.0,-15.00,15.0
2025-03-25,N,Betano,Tenis,1° set - Over 12.5,O/U games,Sam Culmer,ATP Tour,Miami 1000 - R16,Gael Monfils v Sebastian Korda,N,1-2,0.5,4.0,N,L,-0.5,-7.50,15.0
2025-03-25,N,Betano,Tenis,Francisco Cerundolo,ML,Sam Culmer,ATP Tour,Miami 1000 - R16,Casper Ruud v Francisco Cerundolo,N,0-2,1.0,1.95,N,W,0.95,14.25,15.0
2025-03-25,N,Estrelabet,Futebol,Over 0.5,O/U cartões,,Eliminatórias,Liga,Argentina v Brasil,N,4-1,0.2,3.0,N,W,0.4,6.00,15.0
2025-03-25,N,bet365,Futebol,Vinicius Jr. - Over 0.5,O/U chutes no gol,,Eliminatórias,Liga,Argentina v Brasil,N,4-1,2.0,2.5,N,L,-2.0,-30.00,15.0
2025-03-25,N,Betano,Futebol,Criar Aposta,Dupla,,Eliminatórias,Liga,Argentina v Brasil,N,4-1,0.666667,5.0,N,L,-0.67,-10.00,15.0
2025-03-25,S,,,Vinicius Jr. - Over 0.5,O/U chutes no gol,,,,,N,,,,N,l,,,15.0
2025-03-25,S,,,Raphinha - Over 0.5,O/U chutes no gol,,,,,N,,,,N,l,,,15.0
2025-03-26,N,Betano,Tenis,Francisco Cerundolo,ML,Sam Culmer,ATP Tour,Miami 1000 - QF,Francisco Cerundolo v Grigor Dimitrov,N,1-2,1.666667,2.07,N,L,-1.666667,-25.0,15.0
2025-03-27,N,Betano,Tenis,Jakub Mensik,ML,Sam Culmer,ATP Tour,Miami 1000 - QF,Arthur Fils v Jakub Mensik,N,0-2,1.6667,1.93,N,W,1.2837,19.26,15.0
2025-03-27,N,betfair,Tenis,1° set - Over 10.5,O/U games,Sam Culmer,ATP Tour,Miami 1000 - QF,Sebastian Korda v Novak Djokovic,N,0-2,1.0,3.0,N,L,-1.0,-15.00,15.0
2025-03-27,N,bet365,Tenis,1° set - Over 10.5,O/U games,Sam Culmer,ATP Tour,Miami 1000 - QF,Taylor Fritz v Matteo Berrettini,N,2-1,1.0,2.1,N,W,1.1,16.50,15.0
2025-03-27,N,bet365,Tenis,1° set - Over 12.5,O/U games,Sam Culmer,ATP Tour,Miami 1000 - QF,Taylor Fritz v Matteo Berrettini,N,2-1,1.0,2.5,N,L,-1.0,-15.00,15.0
2025-03-27,N,bet365,Tenis,1° set - Berrettini - 7-5 ou 7-6,Resultado Exato - Set,Sam Culmer,ATP Tour,Miami 1000 - QF,Taylor Fritz v Matteo Berrettini,N,2-1,0.5,4.5,N,L,-0.5,-7.50,15.0
2025-03-27,N,Estrelabet,Futebol,Over 0.5,O/U cartões,,Paulista,F,Corinthians v Palmeiras,N,0-0,0.2,3.0,N,W,0.4,6.00,15.0
2025-03-27,N,bet365,Futebol,Yuri Alberto - Over 0.5,O/U chutes no gol,,Paulista,F,Corinthians v Palmeiras,N,0-0,2.6667,2.0,N,W,2.6667,40.00,15.0
2025-03-28,N,Betano,Futebol,Criar Aposta,Tripla,L10,Bundesliga,Liga,Bayer Leverkusen v Bochum,N,3-1,1.0,1.7,N,W,0.7,10.50,15.0
2025-03-28,S,,,Bayer Leverkusen,ML,,,,,N,,,,N,w,,,15.0
2025-03-28,S,,,1° tempo - Over 0.5,O/U gols no tempo,,,,,N,,,,N,w,,,15.0
2025-03-28,S,,,2° tempo - Over 0.5,O/U gols no tempo,,,,,N,,,,N,w,,,15.0
2025-03-28,N,bet365,Tenis,1° set - Grigor Dimitrov,Set ML,Sam Culmer,ATP Tour,Miami 1000 - SF,Novak Djokovic v Grigor Dimitrov,N,2-0,0.5,3.4,N,L,-0.5,-7.50,15.0
2025-03-28,N,bet365,Tenis,1° set - Over 10.5,O/U games,Sam Culmer,ATP Tour,Miami 1000 - SF,Jakub Mensik v Taylor Fritz,N,2-1,1.0,2.5,N,W,1.5,22.50,15.0
2025-03-28,N,Betano,Tenis,1° set - Jakub Mensik,Set ML,Sam Culmer,ATP Tour,Miami 1000 - SF,Jakub Mensik v Taylor Fritz,N,2-1,1.0,2.8,N,W,1.8,27.00,15.0
2025-03-29,N,Superbet,Tenis,2 seleções,Dupla,Sam Culmer,,,,N,,1.0,2.33,,W,1.33,19.98,15.0
2025-03-29,S,,,Jakub Mensik +1.5,Handicap Asiático,,ATP Tour,Miami 1000 - SF,Jakub Mensik v Taylor Fritz,N,2-1,,,N,w,,,15.0
2025-03-29,S,,,Aryna Sabalenka,ML,,WTA Tour,Miami 1000 - F,Aryna Sabalenka v Jessica Pegula,N,2-0,,,N,w,,,15.0
2025-03-29,N,Betano,Futebol,3 seleções,Tripla,L10,,,,N,,1.3333,1.52,Y,W,0.69,10.40,15.0
2025-03-29,S,,,Over 1.5,O/U gols,,Bundesliga,Liga,Holstein Kiel v Werder Bremen,N,0-3,,,N,w,,,15.0
2025-03-29,S,,,Over 1.5,O/U gols,,La Liga,Liga,Real Madrid v Leganés,N,3-2,,,N,w,,,15.0
2025-03-29,S,,,Real Madrid,ML,,La Liga,Liga,Real Madrid v Leganés,N,3-2,,,N,w,,,15.0
2025-03-29,N,Superbet,Kings League,Nyvelados,ML,,Kings League Brazil,Fase de Liga,Nyvelados v Desimpedidos Goti,N,1-0,0.5,2.55,Y,W,0.775,11.63,15.0
2025-03-29,N,Superbet,Kings League,Dendele,ML,,Kings League Brazil,Fase de Liga,Dendele v Furia,N,2-6,0.6667,4.0,N,L,-0.6667,-10.00,15.0
2025-03-29,N,Superbet,Kings League,Funkbol,ML,,Kings League Brazil,Fase de Liga,Capim v Funkbol,N,6-4,0.5,2.6,N,L,-0.5,-7.50,15.0
2025-03-29,N,bet365,Kings League,Fluxo,ML,,Kings League Brazil,Fase de Liga,Loud v Fluxo,N,8-4,0.5,3.9,N,L,-0.5,-7.50,15.0
2025-03-29,N,Superbet,Kings League,Real Elite,ML,,Kings League Brazil,Fase de Liga,Real Elite v G3X,N,3-4,0.5,3.4,N,L,-0.5,-7.50,15.0
2025-03-29,N,Superbet,Kings League,Sim,Ambos presidentes marcam,,Kings League Brazil,Fase de Liga,Real Elite v G3X,N,3-4,1.0,2.0,Y,W,1.0,15.00,15.0
2025-03-29,N,bet365,Futebol,Germán Cano - Over 0.5,O/U chutes no gol,,Brasileirão,Liga,Fortaleza v Fluminense,N,2-0,2.6667,2.0,N,L,-2.6667,-40.00,15.0
2025-03-29,N,Superbet,Kings League,4 seleções,Múltipla,,Kings League Brazil,Fase de Liga,,N,,0.3333,7.88,Y,W,2.6216,34.40,15.0
